window_id,t_start_s,t_end_s,activity,motion_mg,p_2,p_4,p_5,p_6,p_93,p_98,p_142,detections
3B8D_w0192,1953.0,1963.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0193,1963.0,1973.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0194,1973.0,1983.0,run,0.42,0.472,0.271,0.18,0.325,0.029,0.038,0.009,-
3B8D_w0195,1983.0,1993.0,run,2.23,0.012,0.114,0.889,0.632,0.119,0.149,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0196,1993.0,2003.0,run,4.12,0.01,0.121,0.536,0.932,0.23,0.437,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0197,2003.0,2013.0,run,4.91,0.008,0.182,0.913,0.601,0.089,0.293,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0198,2013.0,2023.0,run,4.9,0.005,0.212,0.662,0.8,0.16,0.351,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0199,2023.0,2033.0,run,4.53,0.006,0.128,0.545,0.921,0.333,0.682,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0200,2033.0,2043.0,run,4.79,0.007,0.118,0.409,0.928,0.221,0.541,0.003,Sinus Tachycardia; Ventricular Run
3B8D_w0201,2043.0,2053.0,run,4.78,0.004,0.098,0.628,0.94,0.335,0.608,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia; Ventricular Run
3B8D_w0202,2053.0,2063.0,run,5.19,0.013,0.151,0.595,0.864,0.186,0.356,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0203,2063.0,2073.0,run,4.84,0.006,0.086,0.5,0.928,0.313,0.618,0.003,Sinus Tachycardia; Ventricular Run
3B8D_w0204,2073.0,2083.0,run,4.97,0.006,0.117,0.77,0.721,0.107,0.19,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0205,2083.0,2093.0,run,4.99,0.004,0.119,0.693,0.839,0.236,0.417,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0206,2093.0,2103.0,run,4.78,0.002,0.098,0.615,0.956,0.239,0.44,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0207,2103.0,2113.0,run,4.87,0.004,0.096,0.651,0.866,0.223,0.39,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0208,2113.0,2123.0,run,4.85,0.003,0.105,0.888,0.717,0.113,0.226,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0209,2123.0,2133.0,run,4.81,0.005,0.081,0.889,0.682,0.067,0.155,0.004,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0210,2133.0,2143.0,run,4.67,0.003,0.133,0.621,0.779,0.148,0.29,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0211,2143.0,2153.0,run,4.86,0.002,0.084,0.818,0.76,0.164,0.266,0.006,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0212,2153.0,2163.0,run,4.74,0.004,0.09,0.636,0.515,0.064,0.131,0.008,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0213,2163.0,2173.0,run,4.77,0.003,0.102,0.59,0.843,0.22,0.4,0.003,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0214,2173.0,2183.0,run,5.01,0.001,0.069,0.716,0.951,0.266,0.335,0.002,Atrial Fibrillation(suppressed); Sinus Tachycardia
3B8D_w0215,2183.0,2193.0,run,4.87,0.002,0.06,0.716,0.935,0.233,0.375,0.008,Atrial Fibrillation(suppressed); Sinus Tachycardia
